id;station
705;Le-Blanc-Pl-du-Bateau
706;Gare de Cherbourg
707;Gare de Ventimiglia-Stazione
708;Gare de Evian-les-Bains
709;Laon-Gare-Routière-Poma
710;Gare de Is-sur-Tille
711;Gare de Touet-de-l'Escarène
712;Gare de Villefranche-sur-Saône
713;Gare de Pontarlier
714;Brioude-Lycée-Lafayette
715;Gare de Pau
716;Gare de Vendôme-Villiers-s-Loir
717;Gare de Vallorbe-Cff
718;Gare de Liverdun
719;Gare de Saintes
720;Gare de Saint-Raphaël-Valescure
721;Gare de Joinville
722;Gare de Rothau
723;Gare de Saint-Rambert-en-Bugey
724;Gare de La Douzillère
725;Gare de Les Laumes-Alésia
726;Gare de Les Arcs-Draguignan
727;Gare de Saint-JuSaint-SNCF
728;Gare de Sablé-sur-Sarthe
729;Gare de Montauban-Ville-Bourbon
730;Gare de Bréauté-Beuzeville
731;Pfaffenhoffen-(Mairie).
732;Gare de Abbeville
733;Gare de Connerré-Beillé
734;Gare de Faubourg-d'Orléans
735;Gare de Andelot
736;Gare de Vif
737;La Ferté-sur-Chiers
738;Gare de Montbazon
739;Gare de Feurs
740;Gare de Autun
741;Herbitzheim Mairie
742;Gare de Pont-de-Beauvoisin
743;Le Tréport-Mers-Les-B
744;Gare de Niort
745;Gare de Valence-Ville
746;Poitiers-Gare-Routière
747;Gare de Aubagne
748;Gare de Briançon
749;Aix-Gare-Routière
750;Gare de Clelles-Mens
751;Gare de Paris-Est
752;Le Mont Dore Ski
753;Chaumont-sur-Tharonne
754;Gare de Nice-Ville
755;Gare de Monaco-Monte-Carlo
756;Martigny-les-B-Thiebaut
757;Gare de Forbach
758;Gare de Montmélian
759;Gare de Neufchâteau
760;Gare de Vierzon
761;Gare de Champagne-Ardenne
762;Gare de Manosque-Gréoux
763;Gare de Grenoble
764;Aubenas-Pl.-de-la-Paix
765;Buzançais
766;Gare de Bourgoin-Jallieu
767;Quillan
768;Chamberry-Jacob
769;Gare de Breil-sur-Roya
770;Gare de Montluçon-Ville
771;Sancerre-Porte-Cesar
772;Gare de Lapeyrouse(Puy-de-Dôme)
773;Gare de Sedan
774;Gare de Le Creusot
775;Comines (France)
776;Gare de La Roche-sur-Yon
777;Gare de Objat
778;Vezin-Carrefour
779;Gare de Saint-André-le-Gaz
780;Gare de WOERTH RHEIN
781;Bois-d'Oingt-Centre
782;Ste-Marie/-Ms-(-Théâtre
783;Luchon
784;Gare de Dunkerque
785;Gare de Lauterbourg
786;Gare de Frasne
787;Gare de Bourg-en-Bresse
788;Gare de Hendaye
789;Gare de Paris-Gare-de-Lyon
790;Gare de Kehl
791;Gare de Oissel
792;Liepvre-(-R.-GUTH-)
793;Gare de Gramat
794;Gare de Cernay (Haut-Rhin)
795;Gare de Montauban-de-Bretagne
796;Gare de Cannes
797;Gare de Retiers
798;Gare de Mommenheim
799;Neufchateau-Lp
800;Saint-Aignan-Pl-Wilson
801;Gare de Chedde
802;Gare de Dieppe
803;Gare de Persan-Beaumont
804;Gare de Decize
805;Gare de Meroux
806;Privas-Cours-du-Palais
807;Gare de Langeac
808;Clion-sur-Indre
809;Gare de Salbris
810;Gare de Clamecy
811;Gare de Seurre
812;Gare de Paris-Montp.3-Vaug.
813;Gare de Luzy(Nièvre)
814;Gare de Saint-Dizier
815;Gare de Fismes
816;Gare de Nexon
817;Gare de Tourcoing
